depth,qwwq,holder2
0.0,212.9035986,255.11640999307875
0.5,214.80192077449877,258.88504926626064
1.0,217.14232470000002,260.0360086120711
1.5,213.92427039949877,258.2388383336944
2.0,216.05486478821524,258.9177546164526
2.5,214.30783920000005,256.56071368995913
3.0,213.9437769,257.1671324260449
3.5,213.9437769,256.2950835105946
4.0,213.9437769,257.32125022840285
4.5,212.18965795748517,257.0081258137721
5.0,213.71407323455963,258.0171076123273
5.5,216.76526025,261.1365681310292
6.0,216.41420010000002,259.33419989051487
6.5,217.6269522648069,261.914060673448
7.0,217.844445,261.05463610463653
7.5,217.844445,260.85224452418606
8.0,217.844445,260.29599720598867
8.5,217.40946160567125,261.90923802619324
9.0,216.64823985,260.1166357498293
9.5,216.64823985,258.76305076600653
10.0,212.69083689820835,254.3336996985102
10.5,207.96275325,250.26440157085642
11.0,207.96275325,249.24924065361608
11.5,206.1424407,246.26675420039962
12.0,209.1762997052059,251.4283388214734
12.5,213.42368775000003,254.40208613876308
