,force
0.0,-12.449091143316764
0.5,-2.571157847534298
1.0,-9.002740717590378
1.5,-13.662404585162676
2.0,-3.9806585492077984
2.5,-10.970154350565913
3.0,-9.106288803537137
3.5,-3.43590557531752
4.0,-4.5666806877863255
4.5,-8.750623638765818
5.0,-6.035862950702172
5.5,-10.474924374301935
6.0,-13.29098210296479
6.5,-8.033925431858414
7.0,-6.20919344239428
7.5,-11.595771799600415
8.0,-2.7853534701344564
8.5,0.6992647264842162
9.0,-2.3216381287243166
9.5,-0.05258441929830049
10.0,1.4049674426595775
10.5,-4.628584434819231
11.0,-8.105511559836955
11.5,-3.237813584812102
12.0,-11.740531331123119
12.5,-8.491753423899446
13.0,-1.783638290874567
13.5,-14.980478214295397
14.0,-2.2428515415917563
14.5,7.805814885867676
15.0,-0.8297578252296951
15.5,-12.205603071653108
16.0,-6.638392755155867
16.5,-10.587476641634526
17.0,-7.755834752879076
17.5,-3.4544766994276213
18.0,-6.8529924115368885
18.5,-3.1455207255992654
19.0,-1.9997386441527851
19.5,-2.116793002178788
20.0,-1.295161450650701
20.5,-0.9102326963729865
21.0,-8.642573462126808
21.5,-10.887053259851545
22.0,-8.091067352196205
22.5,-19.580402801513173
23.0,-14.357977597277703
23.5,-1.7654567707667894
24.0,-4.698742014790241
24.5,-2.6949653416004633
25.0,1.8135321730769647
25.5,-2.103286730099475
26.0,-5.012387666423895
26.5,-1.6386334531276479
27.0,-4.6537211078568905
27.5,-5.390000523325181
28.0,-0.720394538805218
28.5,-0.6198478466548067
29.0,-1.8264081524607718
29.5,3.470301548214046
30.0,2.7747285360981024
30.5,1.5868692224023828
31.0,3.7922010327852647
31.5,1.1221149369856676
32.0,0.45164973835198907
32.5,1.5411556861317877
33.0,1.2440177003735986
33.5,-0.602777419442587
34.0,-1.1702284339115376
34.5,-4.496523107815922
35.0,-6.157606986533656
35.5,-2.1032867300991818
36.0,-4.272082342932659
36.5,-9.551995782174345
37.0,-5.22863808939237
37.5,-6.77251754039391
38.0,-13.151417291472523
38.5,-2.7797258567682093
39.0,-3.7887569334052102
39.5,-14.58889733242189
40.0,-0.8314461092403214
40.5,-1.4054626726363786
41.0,-17.597419438223575
41.5,3.3239836006821495
42.0,10.814336991669506
42.5,-13.711927582789166
43.0,-0.6584907917716318
43.5,4.298686235782544
44.0,-2.9241679331783725
44.5,-3.4606670741309244
45.0,-1.9192637730102025
45.5,-3.919880324847994
46.0,-4.302558033778951
46.5,-2.23159631485842
47.0,-6.6661556477648904
47.5,-9.348189599634814
48.0,1.8878166695167238
48.5,-11.194508536781996
49.0,-12.141635866386428
49.5,12.778374056622933
50.0,-8.421971018154025
50.5,-16.249981211140266
51.0,2.48209264103283
51.5,-3.2605116253913966
52.0,-10.352617577133515
52.5,3.4567952761345175
53.0,-0.9845171928122909
53.5,-1.157847684504759
54.0,-0.8607096987466551
54.5,-4.905087838233385
55.0,-6.866498683616925
55.5,-5.76348646375709
56.0,-6.572362091654365
56.5,-7.544250920071819
57.0,-7.5958373759326605
57.5,-9.993575844342471
58.0,-11.706246178920992
58.5,-3.6024829309700994
59.0,-2.317828667368307
59.5,-4.104466043273533
60.0,-1.9254541477134808
60.5,-2.5264832552700014
61.0,-4.129227542086937
61.5,-2.3814784175234145
62.0,-4.8945829599488855
62.5,-8.338682340327978
63.0,-4.894582959948885
63.5,-2.301003546380512
64.0,-2.434190396057369
64.5,0.41038057366313296
65.0,1.1944947027473063
65.5,-7.249176392548329
66.0,-2.6111571917709373
66.5,-0.5697620876920002
67.0,-7.15013039729547
67.5,-1.0216594410323978
68.0,4.828244653582274
68.5,-6.545537134607404
69.0,0.1049887549675077
69.5,0.1049887549675077
70.0,-4.500650024284823
70.5,-6.089888039021743
71.0,-4.8338047355890295
71.5,-7.752660201749222
72.0,-7.827695046637708
72.5,-7.3399685548629465
73.0,-9.304380794041966
73.5,-7.100607399668661
74.0,-2.2946255845645425
74.5,-7.088226650261914
75.0,-3.642251398760738
75.5,5.325162913856232
76.0,-9.94627503250675
76.5,-11.012924212152502
77.0,-1.0054692302692256
77.5,-10.029217395664721
78.0,-7.643109328212183
78.5,-0.7327752882113927
79.0,-6.247461213287259
79.5,-7.397745385427015
80.0,-2.7943576515214534
80.5,-5.8914208742914305
81.0,-7.251427437894797
81.5,0.8861014902557365
82.0,-5.138734801393975
82.5,-14.324211917077553
83.0,-1.2416558343337538
83.5,-9.459702922961368
84.0,-22.762255399007323
84.5,-1.9110099400720486
85.0,-4.388097756950733
85.5,-20.991808233864504
86.0,-0.5902379424795132
86.5,-1.2141238181704033
87.0,-13.189685062365708
87.5,-2.407177851898057
88.0,2.3650382830067294
88.5,-5.441586979185687
89.0,-0.11786473435131484
89.5,4.124605395641083
90.0,-3.9468928690083587
90.5,1.3781424856123436
91.0,0.649741728857256
91.5,-8.05392510397678
92.0,-6.77045408216001
92.5,-10.024715304971423
93.0,-11.483392689602624
93.5,-10.186790569930567
94.0,-2.6187761144820847
94.5,-8.157098015698164
95.0,-2.942926644400554
95.5,-1.7273621572080629
96.0,-6.5085824734994935
96.5,0.3526037430995075
97.0,-0.9710109207326418
97.5,-7.571075877119711
98.0,-5.446089069879276
98.5,-2.213587952085126
99.0,-6.807278875266837
99.5,1.9125781683301284
100.0,-0.5140487153621116
100.5,-9.077025214030598
101.0,-2.2102113840651327
101.5,-1.250703305054257
102.0,-6.843988230150362
102.5,-8.437728335581141
103.0,-2.235925248217459
103.5,-5.184967809667244
104.0,-6.2654695760607595
104.5,-1.7678809734475927
105.0,-6.134908945954976
105.5,-2.9035333508344756
106.0,-1.8264081524607718
106.5,-6.506331428152407
107.0,-6.506331428152407
107.5,-4.259225410855773
108.0,-4.878825642522127
108.5,-6.320620187053464
109.0,-7.7505967435149
109.5,-13.626387859616187
110.0,-12.494804679586851
110.5,-9.675803276240003
111.0,-13.874940783309345
111.5,-13.47050296936027
112.0,-7.235670120468358
112.5,-8.111701934540708
113.0,-5.130942721347936
113.5,-0.786425202306873
114.0,-4.045938864260563
114.5,-8.487251333207496
115.0,-5.772490645143567
115.5,-7.1771429414550365
116.0,-8.04154435456985
116.5,-5.664440468503926
117.0,-6.761565338995819
117.5,-6.312741528340221
118.0,-0.6130947106148597
118.5,-1.3146705103217755
119.0,-2.7178221097356072
119.5,3.630125767826522
120.0,-4.26636815089886
120.5,-10.396137787169092
121.0,-9.815368087732509
121.5,-9.428188288108231
122.0,-11.557677186041929
122.5,-6.572362091654365
123.0,-4.079704544460583
123.5,-10.34436374419573
124.0,-2.625529250522863
124.5,0.7735492229235206
125.0,-7.13887517056141
125.5,-10.549208870741055
126.0,-7.87964224694529
126.5,-15.420471000898488
127.0,-12.369092454843186
127.5,-11.402355057122746
128.0,-16.242102552427014
128.5,-16.831876433249818
129.0,-16.831876433249818
129.5,-18.893271209447235
130.0,-23.467958115183137
130.5,-26.06791549056743
131.0,-39.571936525139535
131.5,-46.92741478244042
132.0,-48.86425171612326
132.5,-53.084961741097345
133.0,-52.74557336575585
133.5,-51.15356483366933
134.0,-54.78712719739115
134.5,-60.78353682665071
135.0,-71.25765082462749
135.5,-75.20615751999136
136.0,-81.07558510405465
136.5,-90.49733540247139
137.0,-97.93403887936418
137.5,-99.46099797284387
138.0,-98.12837912762538
138.5,-99.46099797284387
139.0,-102.40761633161266
139.5,-109.54305490627887
140.0,-116.88896622085626
140.5,-119.83971149609351
141.0,-120.76083925194398
141.5,-124.53820589589532
142.0,-125.33676423262068
142.5,-127.73862961749956
143.0,-129.27765200527267
143.5,-132.19795044921915
144.0,-131.72904038777807
144.5,-139.3765340596953
145.0,-148.75664001919876
145.5,-151.09697683126893
146.0,-155.001039810814
146.5,-156.90767521942917
147.0,-153.9858183594738
147.5,-161.4885524998686
148.0,-162.54204172210186
148.5,-157.06449804524624
149.0,-158.7535324036846
149.5,-165.5291788971107
150.0,-160.06952814480496
150.5,-165.17801582303264
151.0,-175.80895264682613
151.5,-166.3789485154712
152.0,-173.09269126186598
152.5,-185.6310138427225
153.0,-181.19457863869454
153.5,-181.91678902074446
154.0,-185.5453009622154
154.5,-184.5167463961293
155.0,-185.66703056826918
155.5,-188.0266888528982
156.0,-187.71323078837668
156.5,-185.99005557551368
157.0,-188.95524505839194
157.5,-189.49380765757903
158.0,-188.52810920386446
158.5,-195.14768321992247
159.0,-176.32069028896382
159.5,-153.222713986959
160.0,-170.549356334815
160.5,-166.01371640797922
161.0,-152.79726641644083
161.5,-152.79726641644083
162.0,-145.91807183706976
162.5,-138.68321209292662
163.0,-138.68321209292662
163.5,-137.7443385962598
164.0,-137.07371467006942
164.5,-137.3419642405454
165.0,-138.68321209292662
165.5,-137.5689446463332
166.0,-139.9460485323989
166.5,-143.50495122545746
167.0,-137.0413342485445
167.5,-145.52864099209927
168.0,-149.59684269483628
168.5,-135.4394557483995
169.0,-131.95033546108766
169.5,-136.42372532622352
170.0,-136.35563120448705
170.5,-138.12195145316082
171.0,-139.0051115774977
171.5,-135.37755200136604
172.0,-134.57730538063163
172.5,-136.35563120448705
173.0,-134.20588289843406
173.5,-126.079609197016
174.0,-126.079609197016
174.5,-119.64161950558855
175.0,-128.40268799476246
175.5,-132.9509251176745
176.0,-124.67645759760133
176.5,-133.4945525688904
177.0,-141.23364647068456
177.5,-134.3544518913135
178.0,-126.42627018040237
178.5,-124.73629788639752
179.0,-135.68294382006334
179.5,-124.90231248071791
180.0,-127.94122369869949
180.5,-133.32647451634136
181.0,-126.65812785110641
181.5,-123.69800322025674
182.0,-128.11767102240884
182.5,-122.54321695742347
183.0,-113.77314428686395
183.5,-123.82181071432423
184.0,-116.18739042115043
184.5,-112.00888749642358
185.0,-123.81955966897567
185.5,-120.33494147235706
186.0,-110.22399612364067
186.5,-119.25781627398429
187.0,-115.6730265594382
187.5,-115.62200286491415
188.0,-120.67935141039457
188.5,-119.4772931952819
189.0,-113.74838278805055
189.5,-119.99818508849805
190.0,-123.08346784062041
190.5,-115.25264384095063
191.0,-130.1877669546563
191.5,-131.31666619600423
192.0,-113.14172606712854
192.5,-124.76724975991596
193.0,-134.49089987078696
193.5,-123.95462238977548
194.0,-130.66048647745492
194.5,-137.09847616888203
195.0,-128.0627801474165
195.5,-131.13920878784432
196.0,-140.34898564945024
196.5,-129.10876588516277
197.0,-130.76403456340057
197.5,-143.8583653448818
198.0,-130.1630054558441
198.5,-129.21306431955736
199.0,-139.8012890008764
199.5,-130.58620198101517
200.0,-135.9575424927986
200.5,-142.22410642321165
201.0,-136.45467719973976
201.5,-138.17972828372496
202.0,-141.6298304516954
202.5,-137.86195571562206
203.0,-134.99993914446569
203.5,-136.29372745745422
204.0,-132.1647475303561
204.5,-133.22949197932246
205.0,-136.63926291816577
205.5,-127.9974998323651
206.0,-126.22817818989552
206.5,-139.5588687327745
207.0,-131.1680972031243
207.5,-129.8681185154336
208.0,-139.93779469946128
208.5,-134.4180439223557
209.0,-134.94422577213544
209.5,-143.06599738285968
210.0,-134.94422577213544
210.5,-134.3747112994328
211.0,-141.38671755425722
211.5,-140.2908047851054
212.0,-135.16707926145455
212.5,-140.94269885962913
213.0,-135.71183223534445
213.5,-131.32079311247315
214.0,-138.860669501088
214.5,-142.12280938261236
215.0,-141.77839944457446
215.5,-142.35916914401105
216.0,-141.83363663423435
216.5,-138.67195686619272
217.0,-141.99744347253676
217.5,-141.97198934438617
218.0,-142.74409789828815
218.5,-142.55219628248602
219.0,-141.97649143507988
219.5,-141.04455866156562
220.0,-142.566640490127
220.5,-143.67059064554869
221.0,-141.18862556375157
221.5,-144.00693433776132
222.0,-142.96244929691383
222.5,-140.1126258880513
223.0,-142.69457490066256
223.5,-145.7199798465643
224.0,-140.54032450391514
224.5,-141.58030745406853
225.0,-149.7474751459509
