,force
0.0,
0.5,
1.0,-340.8759347500931
1.5,-346.2315468040047
2.0,-346.39362206896385
2.5,-347.4966342888239
3.0,-354.94871990891846
3.5,-356.99154356100644
4.0,-358.0480341770356
4.5,-360.16101540909403
5.0,-360.16101540909403
5.5,-360.557199390105
6.0,-362.34002730465454
6.5,-362.34002730465454
7.0,-362.3895503022809
7.5,-366.08472781747906
8.0,-371.20464387977427
8.5,-371.20464387977427
9.0,-377.6302528217957
9.5,-381.90161136706956
10.0,-381.90161136706956
10.5,-390.46908995643116
11.0,-390.46908995643116
11.5,-396.916083829245
12.0,-399.630844517309
12.5,-399.54980688482954
13.0,-399.3337065315509
13.5,-400.7584450786476
14.0,-402.10699439862674
14.5,-401.80985641286884
15.0,-401.93141286158794
15.5,-403.922837644927
16.0,-405.4085275737186
16.5,-406.56406418500046
17.0,-406.56406418500046
17.5,-407.2078631541426
18.0,-415.50296525655904
18.5,-418.12543308541024
19.0,-418.15244562957014
19.5,-419.5390895631081
20.0,-423.3193450485878
20.5,-426.6745281377744
21.0,-437.1692767180948
21.5,-437.1692767180948
22.0,-437.1692767180948
22.5,-441.9369907623061
23.0,-443.5577434118968
23.5,-443.5577434118968
24.0,-443.5577434118968
24.5,-443.7063124047754
25.0,-443.7063124047754
25.5,-443.7063124047754
26.0,-443.7063124047754
26.5,-443.7063124047754
27.0,-446.3805542765991
27.5,-453.821384669961
28.0,-453.95757291343307
28.5,-456.1005680834469
29.0,-459.05018783601173
29.5,-459.81929499611806
30.0,-462.6826246770608
30.5,-462.7726664909269
31.0,-465.9421383390145
31.5,-467.902423661725
32.0,-470.64682311351953
32.5,-470.64682311351953
33.0,-471.41442957672837
33.5,-473.7172489663544
34.0,-473.7172489663544
34.5,-476.92100596664466
35.0,-481.53287840993397
35.5,-474.1899684891517
36.0,-475.4505538832773
36.5,-479.957146667276
37.0,-479.957146667276
37.5,-479.957146667276
38.0,-483.4732794987485
38.5,-483.4732794987485
39.0,-483.4732794987485
39.5,-485.2065844156714
40.0,-485.2065844156714
40.5,-485.2065844156714
41.0,-496.3717693350693
41.5,-498.2806557890317
42.0,-499.84253494494067
42.5,-504.3059538335737
43.0,-518.040331841953
43.5,-519.2288837849854
44.0,-521.3088496852924
44.5,-521.3088496852924
45.0,-521.5440839240177
45.5,-522.4118619051526
46.0,-522.5469246259518
46.5,-522.5469246259518
47.0,-526.0585553667307
47.5,-530.2725122556649
48.0,-530.9658342224348
48.5,-541.1510640675906
49.0,-541.2170947310924
49.5,-541.1345564017151
50.0,-541.3656637239715
50.5,-542.1085086883668
51.0,-541.460207628531
51.5,-541.1180487358397
52.0,-539.9024842486468
52.5,-529.3495836635376
53.0,-520.2688667351395
53.5,-519.4179715941043
54.0,-494.12072398841747
54.5,-361.48575559560453
55.0,-272.01833346709736
55.5,-199.94961599710797
56.0,-77.76437527767273
56.5,-69.00705853074356
57.0,-9.09248523577753
57.5,0.2406950861153252
58.0,15.209800326689505
58.5,16.758519525186784
59.0,15.389883954421855
59.5,12.994771705582934
60.0,8.240563933451085
60.5,8.240563933451085
61.0,8.240563933451085
61.5,8.240563933451085
62.0,-5.7609381227312975
62.5,-10.780769245767251
63.0,-7.272515073008697
63.5,-5.42778341142639
64.0,-5.42778341142639
64.5,-5.42778341142639
65.0,-8.129037827409613
65.5,-7.858912385811106
66.0,-0.6240526416686407
66.5,4.179678128089108
67.0,-3.991616480261655
67.5,-4.498925236434064
68.0,-5.0062339926064725
68.5,-5.37826041379958
69.0,-5.37826041379958
69.5,-5.37826041379958
70.0,-5.61236912985142
70.5,-7.611297397679012
