,holder1
0.0,15.966151563164544
0.5,17.885730482523044
1.0,17.75141811017264
1.5,16.99165062378808
2.0,17.016264217378115
2.5,17.37136662081275
3.0,18.789157229868664
3.5,20.130210280248207
4.0,19.68656675984539
4.5,20.249046715840255
5.0,21.43947452999533
5.5,20.77337433916497
6.0,21.11293226439654
6.5,20.83614748031437
7.0,17.47350780341673
7.5,15.120884035496303
8.0,20.46036359775735
8.5,12.458788429189315
9.0,12.663586658956378
9.5,20.969662607437435
10.0,18.293629278692187
10.5,16.246828779825783
11.0,21.15312280318984
11.5,16.405480579986378
12.0,13.195114741434942
12.5,17.204569211048025
13.0,14.858680541945263
13.5,12.73984082007431
14.0,16.001389080706435
14.5,18.021074583990355
15.0,16.533246162120072
15.5,22.25678436305384
16.0,21.318011874831747
16.5,15.956303239772893
17.0,19.546251599904238
17.5,18.24374048619684
18.0,12.088725953554828
18.5,15.058298481459378
19.0,13.887311185530738
19.5,8.044701343625412
20.0,15.939369895450223
20.5,18.71885174467511
21.0,10.940083168646652
21.5,13.171197384626236
22.0,21.03953880674011
22.5,14.97753140731464
23.0,17.727031785583733
23.5,17.858342764138683
24.0,10.213230005568224
24.5,15.658321112009716
25.0,21.244477726841545
25.5,17.306288322649742
26.0,16.403417121751747
26.5,19.673662930991224
27.0,15.313348412635229
27.5,17.76961406005817
28.0,21.542741235273027
28.5,15.622921259467216
29.0,14.414899938652313
29.5,16.8624427853569
30.0,14.777599620131694
30.5,15.302937327907289
31.0,18.659440741767845
31.5,14.549118517446608
32.0,12.759537466857568
32.5,17.895485012358584
33.0,19.37451559866553
33.5,18.04086502432978
34.0,20.673837731465078
34.5,19.20442098465891
35.0,17.012887649358312
35.5,20.291794932759988
36.0,17.71118788949027
36.5,14.25427486636837
37.0,16.32847607041945
37.5,17.811070811858997
38.0,17.383231505660603
38.5,19.19752715828498
39.0,18.082415569686752
39.5,16.326145661294763
40.0,20.171667032049374
40.5,19.509953493689448
41.0,17.64655691444112
41.5,17.784996203259922
42.0,9.14210759478577
42.5,8.715675191929467
43.0,15.87657871707933
43.5,11.820570176634853
44.0,9.871024216098967
44.5,20.01414075456091
45.0,15.788694155003157
45.5,13.436496065529719
46.0,24.892202917536544
46.5,19.987795587627396
47.0,13.312298967461686
47.5,21.440693846224818
48.0,13.708569527139666
48.5,8.441188349971828
49.0,19.74471876463361
49.5,16.428218817803447
50.0,7.900327808660793
50.5,16.42475515576719
51.0,16.16218009543593
51.5,10.59403184337726
52.0,16.46194430076512
52.5,17.170100079177374
53.0,11.218350612404937
53.5,15.301357267231015
54.0,17.964430490988732
54.5,11.481787851963787
55.0,15.187553216669174
55.5,21.830124691195675
56.0,8.46946710713891
56.5,16.110077775016222
57.0,26.008526607475346
57.5,5.787487266935802
58.0,10.007118666015089
58.5,21.99895309219483
59.0,10.526219102309351
