,force
0.0,-381.4486606821988
0.5,-387.0633305380887
1.0,-396.5936937744805
1.5,-402.6940266639106
2.0,-402.96415210550873
2.5,-401.4109308163185
3.0,-405.8882600108112
3.5,-406.97776595859114
4.0,-401.94292786657724
4.5,-406.83126042394645
5.0,-409.37963134347
5.5,-406.94062371037126
6.0,-414.7198612541801
6.5,-419.2662225059702
7.0,-417.82330243876595
7.5,-418.35680018592274
8.0,-418.53463276830814
8.5,-415.7123846649421
9.0,-419.5093354034088
9.5,-425.6231745649186
10.0,-419.89707796436994
10.5,-422.48465459034804
11.0,-434.27844392279917
11.5,-439.36580640623515
12.0,-450.11436034939055
12.5,-467.71772254733014
13.0,-458.75786943831315
13.5,-465.76606623178253
14.0,-475.9537779987309
14.5,-465.49368974483735
15.0,-458.481683490013
15.5,-469.50055046187936
16.0,-480.42262248384077
16.5,-488.8888040326024
17.0,-491.48876140798666
17.5,-491.73412535077165
18.0,-494.18776477862366
18.5,-494.18776477862366
19.0,-491.7858993937448
19.5,-489.26022651480025
20.0,-489.26022651480025
20.5,-489.26022651480025
21.0,-491.1173389257889
21.5,-495.28965147581016
22.0,-495.6802078434545
22.5,-495.4506012180959
23.0,-497.9762740970407
23.5,-495.4100824018565
24.0,-490.9687699329097
24.5,-491.3874643673873
25.0,-492.50398285932715
25.5,-492.50398285932715
26.0,-494.18776477862366
26.5,-493.9401497904919
27.0,-494.8068022489534
27.5,-499.955130543861
28.0,-501.5982060598058
28.5,-502.6644512056705
29.0,-506.52930847876166
29.5,-507.4599281424903
30.0,-507.4599281424903
30.5,-507.4599281424903
31.0,-499.87719531362245
31.5,-492.90016684033844
32.0,-498.89695164382164
32.5,-494.65823325607425
33.0,-494.65823325607425
33.5,-496.8248644022278
34.0,-498.37245807805175
34.5,-502.3054094728793
35.0,-509.30803637209266
35.5,-507.025476390586
36.0,-501.6904989190184
36.5,-517.9092806416531
37.0,-522.2177814351476
37.5,-510.91753379495003
38.0,-521.22732148262
38.5,-519.9025812961147
39.0,-518.5778411096094
39.5,-521.488442742832
40.0,-523.3361757982096
40.5,-522.2673044327739
41.0,-525.758675765433
41.5,-527.1886523218942
42.0,-526.3529517369493
42.5,-539.4990565614021
43.0,-556.9424069526166
43.5,-537.7972662793326
44.0,-535.7375597871456
44.5,-555.8438968234509
45.0,-545.7164438088589
45.5,-550.5552533686017
46.0,-554.0115459112753
46.5,-546.9950375657579
47.0,-546.2973866656297
47.5,-551.5286428939168
48.0,-552.773470970616
48.5,-554.9937520308648
49.0,-560.7106568629147
49.5,-553.4956813526677
50.0,-547.1030877423968
50.5,-546.3354812791881
51.0,-510.1746888305528
51.5,-407.8382280423436
52.0,-303.34188924403287
52.5,-224.28517666957956
53.0,-166.67884836071525
53.5,-145.52109999018603
54.0,-145.52109999018603
54.5,-136.48540396872022
55.0,-134.64667509472923
55.5,-135.4926929708463
56.0,-144.17272382753956
56.5,-171.74352723334687
57.0,-171.74352723334687
57.5,-171.74352723334687
58.0,-171.74352723334687
58.5,-171.74352723334687
59.0,-176.53825382171834
59.5,-182.2919257277631
60.0,-193.60793068538806
60.5,-167.83121042086395
61.0,-188.06960878417263
61.5,-205.38408682929082
62.0,-202.051601780684
62.5,-202.051601780684
63.0,-189.1260994002019
63.5,-179.89006034288468
64.0,-182.57255604764637
64.5,-186.32805003431258
65.0,-186.32805003431258
65.5,-188.93372160173038
66.0,-198.52421372247798
66.5,-209.30672093294712
67.0,-211.43620983088053
67.5,-212.92189975967167
68.0,-210.3405135083971
68.5,-210.07432739615524
69.0,-221.09319436802207
69.5,-224.41798834502893
70.0,-236.94055360846042
70.5,-236.2044617801041
71.0,-228.54640551079
71.5,-235.35356663906856
72.0,-238.77290452063517
72.5,-237.01896502136782
73.0,-234.56344972239367
73.5,-234.56344972239367
74.0,-231.8396848529434
74.5,-237.92069626981444
75.0,-238.79766601944812
75.5,-236.00152138423604
76.0,-236.01537397098514
76.5,-246.45572228876222
77.0,-252.6888668536444
77.5,-258.0148401438257
78.0,-259.62208652133586
78.5,-250.55937795571072
79.0,-251.09587709666312
79.5,-257.23597845388383
80.0,-253.6071057679663
80.5,-253.0602893358423
81.0,-253.67932680617173
81.5,-253.9640840425233
82.0,-269.25656060500967
82.5,-281.4122054769373
83.0,-272.95052601886806
83.5,-260.26588549047847
84.0,-273.1418648733338
84.5,-266.1186033917769
85.0,-263.11345785399465
85.5,-273.411990314932
86.0,-270.9339645624916
86.5,-268.2570964710963
87.0,-280.79316800660763
87.5,-280.48027270342277
88.0,-276.0141987356633
88.5,-278.0046422941077
89.0,-282.27660689005216
89.5,-278.3665411229158
90.0,-282.3643976585713
90.5,-292.323772620614
91.0,-288.4527249728191
91.5,-297.4411490420046
92.0,-300.70141305240713
92.5,-300.41665581605565
93.0,-304.6508721131099
