,force
0.0,-307.43282650477204
0.5,-316.8624554619021
1.0,-323.61784254720783
1.5,-330.1200736096822
2.0,-329.6709034843577
2.5,-327.7743977798025
3.0,-336.12915258390535
3.5,-329.94928275889396
4.0,-324.1715997024844
4.5,-332.9185991582411
5.0,-335.83426564349384
5.5,-336.09838829750106
6.0,-343.1822404163057
6.5,-345.31791968894277
7.0,-344.74650048556185
7.5,-348.91959224358783
8.0,-348.83855461110824
8.5,-343.5454090655657
9.0,-346.93642129318624
9.5,-346.9109094459245
10.0,-344.03032175065755
10.5,-351.80543237799736
11.0,-360.2333461558657
11.5,-363.3979407390361
12.0,-372.57357674621807
12.5,-372.618597653151
13.0,-369.4679999545083
13.5,-372.1593844024337
14.0,-373.56507564275165
14.5,-372.1053593141141
15.0,-372.060338407181
15.5,-372.8073102880455
16.0,-377.8027550864937
16.5,-387.5238944160143
17.0,-392.86190214093386
17.5,-390.3658391661642
18.0,-396.7340464518456
18.5,-398.7779956266063
19.0,-393.1571353960139
19.5,-395.9675655113101
20.0,-401.1736706367816
20.5,-403.4042689882023
21.0,-407.92174182471086
21.5,-412.3803123079818
22.0,-413.23871093350544
22.5,-419.65812950082335
23.0,-423.5394944397899
23.5,-419.30527814273523
24.0,-419.160518611212
24.5,-422.6750930266751
25.0,-421.162390553724
25.5,-424.03472441605345
26.0,-431.6612660505143
26.5,-431.47349135118094
27.0,-436.02341675810345
27.5,-439.60970716954625
28.0,-438.40539790908673
28.5,-438.9473370762935
29.0,-443.2744089938974
29.5,-445.95540400176094
30.0,-449.3257383577034
30.5,-452.16378706782996
31.0,-450.278103696672
31.5,-452.5352095500277
32.0,-453.87233048593953
32.5,-451.1423752417862
33.0,-449.29370425084716
33.5,-453.5339233354927
34.0,-449.6628756876985
34.5,-451.02475812242375
35.0,-456.3529824579514
35.5,-450.4346090673764
36.0,-459.2478267737478
36.5,-464.9654819542463
37.0,-467.3425858403116
37.5,-467.3425858403116
38.0,-469.71968972637706
38.5,-468.3330457928389
39.0,-467.3425858403116
39.5,-474.9650005583034
40.0,-477.4317710840104
40.5,-478.7638271678924
41.0,-486.5430647117012
41.5,-490.46982573182504
42.0,-490.46982573182504
42.5,-491.13838619978105
43.0,-496.38782394817576
43.5,-494.7738244346253
44.0,-503.1286658173955
44.5,-507.25812192716376
45.0,-507.72240002991094
45.5,-509.46189532153704
46.0,-510.0066482954271
46.5,-508.37238937375696
47.0,-509.25237494696404
47.5,-514.6460527548793
48.0,-515.0865650134856
48.5,-522.8533640887761
49.0,-522.3468788857796
49.5,-510.52663977050406
50.0,-502.23153766808764
50.5,-490.80616942403793
51.0,-424.59073261668124
51.5,-284.6563745131121
52.0,-143.92852292485088
52.5,-73.70903920713337
53.0,-22.972728138919138
53.5,7.492919582683291
54.0,7.508676900110004
54.5,-1.7431194746332306
55.0,-4.574934520723673
55.5,-4.574934520723673
56.0,-3.0149600954929214
56.5,-2.6682991121083433
57.0,-3.295590415375652
57.5,-4.534415704483845
58.0,-1.9997386441527851
58.5,3.076368612550361
59.0,12.51049966037317
59.5,12.51049966037317
60.0,25.931232017118873
60.5,25.931232017118873
61.0,25.931232017118873
61.5,11.049571230395486
62.0,11.049571230395486
62.5,6.8318625992163895
63.0,3.819213576945458
63.5,2.198460927355388
64.0,-8.635820326085877
64.5,-12.176714656371132
65.0,-7.917736860503737
65.5,-10.02246425962402
66.0,-13.390028098217044
66.5,-18.589942848985174
67.0,-19.184218820501883
67.5,-15.323676050991702
68.0,-0.611031252378833
68.5,-14.607843630756495
69.0,-12.870036623140322
69.5,7.080978284246376
70.0,-3.9558970503940145
70.5,-3.9558970503940145
71.0,-17.145522084883247
71.5,-23.74033460212786
72.0,-20.50648285712605
72.5,-7.571075877118801
73.0,-17.417148223379506
73.5,-18.2804241138208
74.0,-6.642519671624322
74.5,0.37736524191313947
75.0,0.37736524191313947
75.5,-0.38573913060288767
76.0,-11.006733837447772
76.5,-6.434297977058376
77.0,2.160193156461606
77.5,2.7567201733247853
78.0,-9.768658896788617
78.5,0.9468797146164434
79.0,6.179809797135931
79.5,2.898911204389071
80.0,4.363966550835812
80.5,-0.4960403525881727
81.0,-3.7578050598885966
81.5,-0.7678540781967333
82.0,0.22879624903407603
82.5,-3.7578050598885966
83.0,-1.5202659853153566
83.5,-9.824372269118612
84.0,-17.603984987151563
84.5,0.31883806289926575
85.0,-6.725058001001798
85.5,-18.46838640026686
86.0,-2.0760865988263575
86.5,-2.411679942589176
87.0,-12.201476155184082
87.5,-3.877110463260676
88.0,2.3438409393266415
88.5,-4.434619360782259
89.0,5.266635734843032
89.5,8.15438059993053
90.0,-3.0667341384656517
90.5,4.469202920790728
91.0,9.481342972226532
91.5,-1.893939512860265
92.0,3.8934980733855387
92.5,11.871202781923564
93.0,3.423029595934395
93.5,1.8833145788238408
94.0,3.746992538740738
94.5,0.10949084566146361
95.0,0.3435995617131873
95.5,1.0459257098691523
96.0,-1.563035846901922
96.5,-1.3464160216198993
97.0,-1.083563188064545
97.5,-7.472029881865801
98.0,-5.55301372384406
98.5,-0.9732619660784012
99.0,-2.5467426633888985
99.5,-1.465302961434249
100.0,0.8230722205504808
100.5,-1.479747169075381
101.0,-2.851153257190168
101.5,0.6407375474714598
102.0,-1.103822596184834
102.5,0.5799593231116731
103.0,4.710627534220228
103.5,4.432060672571927
104.0,0.22879624903407603
104.5,0.22879624903407603
105.0,-2.1032867300985716
105.5,-5.160956659302297
106.0,-5.583402836024086
106.5,-6.778707915097129
107.0,-6.778707915097129
107.5,-5.31777948511899
108.0,-5.879675035110641
108.5,-5.124189585307052
109.0,5.874417978439851
109.5,5.032527018791479
110.0,4.438251047275132
110.5,5.696960570278785
111.0,-6.8439882301497565
111.5,-6.01110145188823
112.0,3.3037241925616243
112.5,-2.891152601427166
113.0,-6.546850244391331
113.5,0.7015157718312146
114.0,1.4554428056253723
114.5,-7.9177368605032825
115.0,-7.014894519161026
115.5,-12.804756308086581
116.0,-15.915700977162032
116.5,-12.779244460825339
117.0,-6.852992411536738
117.5,-9.252794338181028
118.0,-3.2687654583280707
118.5,-1.0588016892515952
119.0,-3.469671255516997
119.5,6.708055105149715
120.0,11.583068977552227
120.5,-1.2839062239162802
121.0,-6.9767999056022525
121.5,-9.45970292296113
122.0,-20.709114455746903
122.5,-17.35599482479506
123.0,-8.57391657905267
123.5,-17.03409534022385
124.0,-11.767024403280399
124.5,-7.001561404415497
125.0,-11.582438684854575
125.5,-9.797547312070959
126.0,0.3593568791403836
126.5,-8.57391657905267
127.0,-14.229668012517848
127.5,-0.9226134457791373
128.0,-6.852992411536434
128.5,-16.171569798231
129.0,-15.494755497337337
129.5,-19.21723415225277
130.0,-26.909806450215
130.5,-27.423044789251975
131.0,-34.764915766027926
131.5,-43.128588172850414
132.0,-46.73805280754107
132.5,-57.50826584727046
133.0,-63.53206319491392
133.5,-60.36259134682632
134.0,-62.09139417305605
134.5,-64.25427357696513
135.0,-65.1498144507085
135.5,-72.50604305645807
136.0,-80.95065208731498
136.5,-85.26694496085533
137.0,-91.0060716508146
137.5,-94.21156022444848
138.0,-90.4820975570472
138.5,-96.48286497922116
139.0,-102.67999281855714
139.5,-109.24179000405053
140.0,-111.90571458470252
140.5,-112.60935384264349
141.0,-114.57376608182267
141.5,-119.52812930269413
142.0,-121.72158540589498
142.5,-121.72158540589498
143.0,-122.59273995505006
143.5,-129.8681185154328
144.0,-129.8681185154328
144.5,-137.0894719874952
145.0,-147.42402117397978
145.5,-147.60410480171217
146.0,-152.6198090082794
146.5,-158.08797332952406
147.0,-153.60614204433767
147.5,-152.99085631625232
148.0,-163.25899966501038
148.5,-155.2486547989456
149.0,-156.3741774722718
149.5,-163.41804467661865
150.0,-160.27523905802138
150.5,-165.644674839127
151.0,-170.2541230797351
151.5,-168.67388924638468
152.0,-167.21464910041686
152.5,-171.64977119465976
153.0,-171.57473634977154
153.5,-168.6693871556913
154.0,-177.70114384780032
154.5,-179.28306596516003
155.0,-182.24694233825383
155.5,-185.35863735577686
156.0,-184.60547510020942
156.5,-178.38414852339702
157.0,-183.7243784341067
157.5,-174.94230018836424
158.0,-169.52365886474593
158.5,-169.52928647811277
159.0,-169.35858220599164
159.5,-162.7986608916216
160.0,-165.35134631472388
160.5,-167.08052431517947
161.0,-151.7001415459484
161.5,-142.3231524184639
162.0,-138.36131260835464
162.5,-134.64708778637714
163.0,-136.67302859836528
163.5,-138.57083298292784
164.0,-134.91946427332232
164.5,-134.91946427332232
165.0,-135.5632632424651
165.5,-135.88516272703646
166.0,-137.97863489942418
166.5,-139.08352299040538
167.0,-131.53126585238405
167.5,-131.30428544659645
168.0,-134.89470277450891
168.5,-131.76124765196792
169.0,-131.0871461493118
169.5,-137.1592543932416
170.0,-137.32132965820074
170.5,-141.13460047543117
171.0,-144.97263279147455
171.5,-143.226947125145
172.0,-141.48126145881542
172.5,-144.72501780334278
173.0,-143.2123153303921
173.5,-146.0126157416283
174.0,-148.7363806110784
174.5,-137.18176484670818
175.0,-138.89082773682085
175.5,-144.10372928766685
176.0,-141.97649143507942
176.5,-136.90038417837695
177.0,-133.9290043207951
177.5,-134.51708991760768
178.0,-126.98452942636966
178.5,-127.47038004702192
179.0,-133.26494594353196
179.5,-128.25243071787298
180.0,-126.74816966497156
180.5,-134.15185781011314
181.0,-130.38810999050898
181.5,-128.03576760325677
182.0,-132.6228352583986
182.5,-125.46057172668566
183.0,-122.88537585011454
183.5,-128.17608276319802
184.0,-127.23439545984847
184.5,-126.56658534034129
185.0,-134.67184928519066
185.5,-135.81913206353437
186.0,-134.94422577213527
186.5,-136.2565852092339
187.0,-133.0308372274814
187.5,-124.42058877653244
188.0,-133.19028627286963
188.5,-129.28284672530359
189.0,-119.7159040020274
189.5,-129.91764151305887
190.0,-140.1936635205302
190.5,-129.69478802374033
191.0,-136.12246042399676
191.5,-131.53126585238323
192.0,-124.44084818465207
192.5,-127.33482671377645
193.0,-130.21477949881728
193.5,-124.86629575516963
194.0,-127.70261289195308
194.5,-136.71579845995134
195.0,-128.64655124064802
195.5,-139.19194834126856
196.0,-146.6068917131447
196.5,-139.19194834126856
197.0,-134.931845022728
197.5,-141.3214372392035
198.0,-135.25787142376885
198.5,-133.08711336114646
199.0,-136.65502023559142
199.5,-130.64143917067537
200.0,-132.31050271655175
200.5,-137.16450683238486
201.0,-131.2114298260482
201.5,-128.48147458189442
202.0,-135.06803326620138
202.5,-135.36742229730598
203.0,-136.30404474862684
203.5,-140.7901905373932
204.0,-133.26044385283876
204.5,-136.63419806613445
205.0,-146.3493721254886
205.5,-140.02033302883774
206.0,-135.71858537138365
206.5,-144.6831137284285
207.0,-140.70915290491297
207.5,-139.22177469211368
208.0,-149.91255180470466
208.5,-145.92032288241504
209.0,-141.39797278098908
209.5,-149.9077899780097
210.0,-149.78986983331203
210.5,-141.65459195050835
211.0,-145.59786063650762
211.5,-145.19773732613993
212.0,-141.8999558932933
212.5,-142.6473029483822
213.0,-143.1762986048461
213.5,-139.8470025371459
214.0,-139.22796506681607
214.5,-141.15936197424435
215.0,-141.15936197424435
215.5,-145.0311599704882
216.0,-144.64398017086398
216.5,-140.9736507331454
217.0,-143.98217283894704
217.5,-145.0469172879143
218.0,-145.0469172879143
218.5,-145.0469172879143
219.0,-142.17458342558484
219.5,-139.70293563495935
220.0,-148.98174455386507
220.5,-155.85118460340018
221.0,-143.83360384606803
221.5,-149.270816293796
222.0,-148.16236404768256
222.5,-143.61075035674958
223.0,-148.16236404768256
223.5,-152.34480630176327
224.0,-146.90402969890235
224.5,-152.2747987914818
225.0,-158.93811812211015
225.5,-152.40108243543006
226.0,-161.24919134467362
226.5,-163.90692555062242
