force
2,976395028920706
-5,027759462441081
-6,491501699102227
3,488132671060005
-1,0019524470639376
-10,978773010542447
-1,4176454877464026
-8,71103241090168
-9,577684869363111
-5,0238201330839365
-5,040616394516882
-7,823242087599924
-6,736151895801572
-5,64906170400322
-3,77111339767157
-0,2240286926831878
0,3021531570971092
0,3021531570971092
-1,5099383469586487
-2,5454192064189556
0,3021531570971092
-3,8206363952979245
-7,530734300806671
-2,999380017994099
11,044516725549034
2,8835394083709525
-7,13980275893806
-6,532020515341628
-9,451626329950708
-10,059408573546932
-9,330069881231339
-9,330069881231339
-9,063883768989589
-7,765593365307555
-7,3491499761767045
-6,2266286966457
3,1339682031869756
1,447372477207134
-7,099471529810657
-2,107966060719567
-6,678338462874626
-21,207335478622404
-9,001417260620203
0,5475170998821394
-8,493893113616311
0,5542702359221092
2,0849810716463253
-5,838698548572211
-2,59494220404531
0,9150002527232504
-2,9190927339634896
-3,1892181755620186
2,635629640491679
0,45131170947151134
-1,7330062215486564
-5,510608689297925
-4,708673784553064
2,9268720312943515
0,8671655391063515
-1,8836118745030475
0,24882069811485308
-6,296786276616406
-8,069484487105465
-1,1154426499578944
-5,516799064001134
-8,828086768928143
-2,1244737265952196
-1,5842228433982295
-7,701525151594901
-5,987267541451274
-7,182572620524318
-7,326451935597816
-5,374983207161683
-5,4260069016857715
-6,086313536704438
-5,665368056880252
-4,402531617407931
-4,402531617407931
-1,83408887687661
-3,589904247266229
-8,00437732938751
-5,021569087737589
-4,493323779722838
-3,450982591586845
-2,5866883711077397
-5,714891054506687
-5,896475379136829
-9,528161871736756
-7,006991083485293
-8,983408897846402
-9,577684869363111
-9,303403651740032
-8,983408897846402
-9,23706327593267
-9,554131248540521
-9,373402504153738
-2,3203146717538896
-2,4711347099794994
-8,44278284042501
-2,804289421284026
-2,3301846398125123
-8,715534501594892
-3,777779955044597
-1,5076873016121348
-7,635032735201305
-4,50157761266064
1,321876699130113
-8,05485269235253
-4,661401832273354
1,0986480355878332
-9,22427074993913
-6,138087579677141
2,1345040692726798
-9,543919189163306
-9,726253862242805
1,360144470023421
-7,572003465495882
-8,166279437012008
5,711415125104309
-5,980514405412497
-11,525589442667158
3,7770168238803308
-6,928204496352464
-20,623564385389713
2,9313741219870977
-9,218643136571927
-23,635463059209986
-3,2531853808291165
-7,925417584919179
-25,301236615734524
-8,65475627723498
-4,381897035064177
-9,561177203487656
-5,359225889735409
-4,952998783331529
-6,6063050117809325
-1,554959253891866
-3,238741173188221
