Depth;depth;force;Force
0,0;;;-0,9828299508049287
0,5;;;7,590839013260284
1,0;;;10,545195340407076
1,5;;;0,9879133534119688
2,0;;;13,193221913297796
2,5;;;15,321231759002023
3,0;;;-1,5516517941738472
3,5;;;-3,657721162632537
4,0;;;-0,4403280222620598
4,5;;;-12,100786207259276
5,0;;;-4,377078056112277
5,5;;;5,000073406373437
6,0;;;-6,901672309160434
6,5;;;-3,3120991232550594
7,0;;;0,1603259110695756
7,5;;;-3,174410182885085
8,0;;;-9,576758322990424
8,5;;;-3,0267646957865946
9,0;;;-14,516937072220951
9,5;;;-14,987145813671797
10,0;;;-10,301032163274831
10,5;;;-11,961647074211307
11,0;;;-0,3713320394084896
11,5;;;4,199639198527395
12,0;;;-7,795337311783413
12,5;;;6,719121702769661
13,0;;;18,04431842889224
13,5;;;2,288548595998037
14,0;;;5,138512695193198
14,5;;;10,074982991513574
15,0;;;-2,413932029939163
15,5;;;-0,5582301297371917
16,0;;;13,571491325094795
16,5;;;-1,2053082659009142
17,0;;;-5,864091917021868
17,5;;;5,826066358261663
18,0;;;0,9783933074652325
18,5;;;-7,976921636411468
19,0;;;-5,0076052370640625
19,5;;;-20,378399418904454
20,0;;;-19,462094094817072
20,5;;;-3,790186523417928
21,0;;;-10,310223931773555
21,5;;;-23,344678350012547
22,0;;;-15,222726367066093
22,5;;;-6,924925896186022
23,0;;;0,7246817381860398
23,5;;;6,72784450348504
24,0;;;-8,840103733299134
24,5;;;-20,2159958764989
25,0;;;-16,589468029483548
25,5;;;-6,966310499098745
26,0;;;-12,706230826840514
26,5;;;-13,114449242589794
27,0;;;-13,541628386451299
27,5;;;-11,843474408403095
28,0;;;-5,384864564408382
28,5;;;-7,190875360073285
29,0;;;-11,868088001992668
29,5;;;-6,9951844846042395
30,0;;;-9,325157108724456
30,5;;;-11,956676015739681
31,0;;;-6,491137914065769
31,5;;;-9,130394789459235
32,0;;;-4,4555176070873195
32,5;;;8,023649377931262
33,0;;;2,9603257605917452
33,5;;;0,8291686395576434
34,0;;;1,471010790044156
34,5;;;3,9064405421237627
35,0;;;9,02803767354061
35,5;;;3,3938118612034582
36,0;;;1,6604600475033333
36,5;;;7,571142366477337
37,0;;;11,689101550732305
37,5;;;12,265594264008508
38,0;;;10,105122674675195
38,5;;;6,984745053673116
39,0;;;15,093486574986617
39,5;;;11,82639727965407
40,0;;;0,8528542400563115
40,5;;;-8,753438487451364
41,0;;;-10,166532203811752
41,5;;;-7,505515223400083
42,0;;;0,11160015866866946
42,5;;;-5,3313300885373245
43,0;;;-10,467166524746693
43,5;;;-1,9733702978089038
44,0;;;3,6125853308300915
44,5;;;11,922369732222068
45,0;;;22,42211101568339
45,5;;;18,231746813556807
46,0;;;12,430774095675991
46,5;;;16,932208234089195
47,0;;;16,24610837113955
47,5;;;15,790365481999777
48,0;;;8,106187707308232
48,5;;;-6,303457008288076
49,0;;;-5,647652463962475
