,force
0.0,0.495725206240877
0.5,8.667019814591185
1.0,4.2099500282186355
1.5,0.7227056120281459
2.0,10.058165838823241
2.5,12.806317032861447
3.0,-0.8744110614222027
3.5,5.497547966503589
4.0,4.313948323232818
4.5,-1.2658785664685968
5.0,-10.386001156814384
5.5,-9.113987378621514
6.0,-3.7689667816614905
6.5,-12.677392162372994
7.0,-12.850722654065095
7.5,-3.191674658689797
8.0,-12.157400687296104
8.5,-3.5527798497148524
9.0,12.07960456011747
9.5,-7.630173320953013
10.0,-14.12931641096445
10.5,-2.434385486652749
11.0,-1.4831312405795813
11.5,-1.0282324934434377
12.0,0.7185786955592448
12.5,-1.246583892068959
13.0,-1.377894870623701
13.5,0.40699650215997263
14.0,0.7681016931855993
14.5,-1.0642492189899713
15.0,0.6195327003065358
15.5,-1.6482078993339648
16.0,0.266118580882309
16.5,1.2798393353245956
17.0,0.30438635177516016
17.5,0.4529553446542618
18.0,3.5413895602623597
18.5,3.289272481437302
19.0,0.9128612247091263
19.5,-0.29664275578124943
20.0,-5.143706148462009
20.5,-10.10219628580171
21.0,-10.10219628580171
21.5,-14.757358062680396
22.0,-14.757358062680396
22.5,-12.083116190856648
23.0,-3.837537086066277
23.5,-3.6013504820020703
24.0,-1.665278326546023
24.5,-3.398583243469166
25.0,-6.727879311169326
25.5,-2.405872245594769
26.0,-2.9832653770113344
26.5,-6.709870948395746
27.0,-5.702903329992902
27.5,-2.9326168567116584
28.0,-5.269577100762287
28.5,-4.906783625726352
29.0,-2.6366043936268397
29.5,-3.670396969077243
30.0,-3.0204076252312007
30.5,-3.3537354938702473
31.0,-3.8870600836926315
31.5,-3.0204076252312007
32.0,0.2728717169220545
32.5,0.6195327003067632
33.0,4.1266613503923475
33.5,4.3044939327774525
34.0,-0.9404417249238577
34.5,3.255506801237191
35.0,0.9166706860651175
35.5,-4.109913573011454
36.0,-0.9111781354171304
36.5,1.042382910808942
37.0,-3.1689766181105026
37.5,4.35661429041944
38.0,8.196551337141045
38.5,4.259473025844727
39.0,5.571832462943499
39.5,5.691137866316005
40.0,0.877464979610779
40.5,1.7461808963066083
41.0,5.188029231338987
41.5,1.3938922995551302
42.0,-0.711397860901605
42.5,4.459816061696738
43.0,4.205447937525184
43.5,6.025158364292292
44.0,6.41597446793841
44.5,4.628832049808045
45.0,3.6280548061086693
45.5,6.785145904789715
46.0,5.97007990218899
46.5,4.828987498548031
47.0,6.785145904789715
47.5,2.5921987724238225
48.0,0.6793729891052305
48.5,4.90102094964092
49.0,1.611897383511823
49.5,-6.950732800488063
50.0,-4.384541105302965
50.5,-2.6737466418467193
51.0,-10.14721719273524
51.5,0.2728717169220545
52.0,8.600989151089182
52.5,7.485221007598506
53.0,9.963621934263637
53.5,10.796508712525338
54.0,8.761563719150804
