Depth;depth;force;Force
0,0;;;1640,7556348327257
0,5;;;1654,2939843088338
1,0;;;1655,9297908241806
1,5;;;1640,9756276185797
2,0;;;1645,1752809902127
2,5;;;1649,2598244163798
3,0;;;1643,3810463362609
3,5;;;1650,781141466715
4,0;;;1654,1303073385327
4,5;;;1636,183718444342
5,0;;;1640,3038781697219
5,5;;;1647,6815386030414
6,0;;;1648,127339375233
6,5;;;1655,1448794498676
7,0;;;1656,2109370086216
7,5;;;1651,7474892604325
8,0;;;1647,5926223118472
8,5;;;1646,730298786745
9,0;;;1634,0939691546396
9,5;;;1638,2901774168035
10,0;;;1638,98068557689
10,5;;;1613,5265213518278
11,0;;;1610,3677996882502
11,5;;;1621,631316328903
12,0;;;1636,7164153388221
12,5;;;1661,238646790371
13,0;;;1666,1456099506902
13,5;;;1656,1872701492377
14,0;;;1669,1458187447138
14,5;;;1669,7752889444378
15,0;;;1655,386491650409
15,5;;;1659,8756857297494
16,0;;;1669,06609422202
16,5;;;1657,1656111120487
17,0;;;1664,2195358715646
17,5;;;1657,1300886063902
18,0;;;1646,4947553384948
18,5;;;1644,8051716177986
19,0;;;1653,4943942429927
19,5;;;1648,1887741544867
20,0;;;1642,0277929086951
20,5;;;1651,697663237469
21,0;;;1651,4985611625148
21,5;;;1636,1515905439278
22,0;;;1649,5450578354007
22,5;;;1656,7207987796403
23,0;;;1643,5301420160317
23,5;;;1658,552493136918
24,0;;;1662,822632365966
24,5;;;1654,5419275744123
25,0;;;1662,0706425298483
25,5;;;1663,4570519794952
26,0;;;1651,4691532752286
26,5;;;1642,4037896304756
27,0;;;1653,0764285122943
27,5;;;1658,5485465926752
28,0;;;1667,7180066549317
28,5;;;1666,9603913699161
29,0;;;1647,054106609435
29,5;;;1651,519109166193
30,0;;;1666,070374936628
30,5;;;1664,6864979129948
31,0;;;1669,253118572904
31,5;;;1667,5623021369004
32,0;;;1648,4211195516816
32,5;;;1653,9296648847903
33,0;;;1658,8871293640773
33,5;;;1672,1328630060304
34,0;;;1678,5400074635195
34,5;;;1682,1906265285686
35,0;;;1680,8022005174569
35,5;;;1668,1653478059127
36,0;;;1677,538841319712
36,5;;;1682,145418034523
37,0;;;1679,1877789329117
37,5;;;1669,7703806554964
38,0;;;1657,8673848058518
38,5;;;1654,875316769609
39,0;;;1661,516376724903
39,5;;;1662,7589970455892
40,0;;;1660,2417655866948
40,5;;;1662,531309580687
41,0;;;1658,6775199472147
41,5;;;1660,419360077745
42,0;;;1661,9130693555833
42,5;;;1659,435328591256
43,0;;;1659,4734662880103
43,5;;;1660,2766196844243
44,0;;;1665,244216042294
44,5;;;1672,4525610696153
45,0;;;1671,1838372807745
45,5;;;1674,5133065058087
46,0;;;1679,2132438833946
46,5;;;1669,440799478682
47,0;;;1669,3934337328474
47,5;;;1671,854917504695
48,0;;;1672,3238658402427
48,5;;;1662,8232889208596
49,0;;;1661,1719595719755
49,5;;;1671,1970838168527
50,0;;;1665,724604992026
50,5;;;1662,3606053085653
51,0;;;1669,4371473019048
51,5;;;1663,5460620642461
52,0;;;1660,0564728091533
52,5;;;1668,9129257374473
53,0;;;1666,570575971366
53,5;;;1660,9179800211086
54,0;;;1666,2121304976085
54,5;;;1666,602660067094
55,0;;;1662,5696711451342
55,5;;;1677,2037674479536
56,0;;;1677,4375442791102
56,5;;;1678,7036634930457
57,0;;;1665,9589878738577
57,5;;;1675,0728211424514
58,0;;;1668,0241163550788
58,5;;;1667,6933317347862
59,0;;;1679,5899188047374
59,5;;;1665,5737849538002
60,0;;;1665,1973914131318
60,5;;;1668,0461830928746
61,0;;;1655,4139130382773
61,5;;;1666,1446125362918
62,0;;;1685,4371966797796
62,5;;;1660,8469071809395
63,0;;;1663,71235803923
63,5;;;1667,9556254144468
64,0;;;1663,5167335407407
64,5;;;1664,9917021445792
65,0;;;1683,3724253355642
65,5;;;1678,45406441046
66,0;;;1673,424962155145
66,5;;;1681,4184602555554
67,0;;;1671,7086338718793
67,5;;;1668,210978370966
68,0;;;1686,256378688529
68,5;;;1676,1914840401596
69,0;;;1676,2140863514828
69,5;;;1662,767763135642
70,0;;;1648,2618393346947
70,5;;;1657,5340358078943
71,0;;;1661,532220621
71,5;;;1659,7642120883133
72,0;;;1663,2937573983086
72,5;;;1676,9544136715858
73,0;;;1672,9560881681496
73,5;;;1677,3634473697841
74,0;;;1679,0549992845274
74,5;;;1682,704619791351
75,0;;;1681,7045221549936
75,5;;;1682,7875431494317
76,0;;;1677,2394522885993
76,5;;;1674,7004751544719
77,0;;;1685,3351492907325
77,5;;;1695,13301174915
78,0;;;1689,8251875120782
78,5;;;1687,9324804465427
79,0;;;1685,247733696435
79,5;;;1675,2759960222113
80,0;;;1682,5086617186284
80,5;;;1673,2881491022904
81,0;;;1664,407786753568
81,5;;;1669,7551016852078
82,0;;;1672,3347996524722
82,5;;;1665,7142877008541
83,0;;;1678,1713287859807
83,5;;;1681,0392637305335
84,0;;;1687,6983609081578
84,5;;;1690,9334990678544
85,0;;;1670,46380579518
85,5;;;1682,1389823535944
86,0;;;1689,8794001875083
86,5;;;1688,5302267796326
87,0;;;1692,1519783701788
87,5;;;1692,831646159644
88,0;;;1683,5495544662765
88,5;;;1692,2257866839486
89,0;;;1698,238610185528
89,5;;;1694,09635847024
90,0;;;1696,7410661942204
90,5;;;1687,1033829279506
91,0;;;1677,8064271204037
91,5;;;1681,0369657884105
92,0;;;1696,399412343755
92,5;;;1682,256675744642
93,0;;;1675,894479492139
93,5;;;1695,5269220094483
94,0;;;1705,4858575420214
94,5;;;1685,230045604341
95,0;;;1686,4221228124952
95,5;;;1699,3019946279298
96,0;;;1701,8889615957921
96,5;;;1688,7929425303018
97,0;;;1699,827263794258
97,5;;;1695,2424219323514
98,0;;;1679,9419332357068
98,5;;;1695,8484112760482
99,0;;;1694,5314198802582
99,5;;;1686,4901231406802
100,0;;;1702,2812531442269
100,5;;;1691,7992135907557
101,0;;;1684,5686683501924
101,5;;;1697,8094108727641
102,0;;;1691,359696986824
102,5;;;1683,75397752182
103,0;;;1689,5740552655905
103,5;;;1691,1691084808044
104,0;;;1689,6860447715874
104,5;;;1700,9014561402842
105,0;;;1695,1726864233851
105,5;;;1692,8954726745778
106,0;;;1704,1075543720328
106,5;;;1701,0078649296906
107,0;;;1693,9978283395446
107,5;;;1709,196980313702
108,0;;;1699,2555523878773
108,5;;;1700,2381012146925
109,0;;;1705,108497558178
109,5;;;1700,187431049726
110,0;;;1697,3101189140323
110,5;;;1707,677048522042
111,0;;;1703,0550030853594
111,5;;;1695,6388966733905
112,0;;;1708,6992648082025
112,5;;;1708,3034091046366
113,0;;;1703,9710378511131
113,5;;;1708,2793979542726
114,0;;;1706,9410577021322
114,5;;;1692,988140708011
115,0;;;1682,654947920653
115,5;;;1691,5493850747005
116,0;;;1689,096270890764
116,5;;;1698,4803161796258
117,0;;;1705,2559338134936
117,5;;;1697,4970783309188
118,0;;;1700,0220008614156
118,5;;;1707,0835435129434
119,0;;;1704,353443558736
119,5;;;1698,090411263657
120,0;;;1691,598146514404
120,5;;;1700,1485658860304
121,0;;;1702,84167324943
121,5;;;1696,5654269380695
122,0;;;1705,1327179403193
122,5;;;1710,0987404217042
123,0;;;1696,9598216266268
123,5;;;1698,4637736138204
124,0;;;1698,7351826344961
124,5;;;1700,0867903962303
125,0;;;1692,5588476016956
125,5;;;1692,0041994076369
126,0;;;1686,7427885510601
126,5;;;1682,3365693018757
127,0;;;1690,7676720606528
127,5;;;1707,4943819640698
128,0;;;1715,6663908464266
128,5;;;1726,3778025413633
129,0;;;1730,576323896918
129,5;;;1724,0305812822742
130,0;;;1731,8967091764628
130,5;;;1715,4546049967269
131,0;;;1687,1623487722097
131,5;;;1686,8037687923093
132,0;;;1693,843350352629
132,5;;;1686,365143227159
133,0;;;1685,9712571882735
133,5;;;1699,2924673670977
134,0;;;1692,9617378219689
134,5;;;1699,9062235387269
135,0;;;1717,1037770938215
135,5;;;1703,61663889935
136,0;;;1691,7875362930197
136,5;;;1702,9589584839034
137,0;;;1701,69762274133
137,5;;;1703,411793772805
138,0;;;1719,6215713140516
138,5;;;1715,468205062373
139,0;;;1712,0904177261564
139,5;;;1718,9082929644987
140,0;;;1714,592346405627
140,5;;;1713,6045271024498
141,0;;;1709,1009905453996
141,5;;;1698,3902274689788
142,0;;;1702,525444667558
142,5;;;1701,8442220695285
143,0;;;1700,2014748310269
143,5;;;1702,3608815857144
144,0;;;1712,4797570652188
144,5;;;1712,0810455854319
145,0;;;1704,379180510529
145,5;;;1701,4106144596271
146,0;;;1700,8774197378075
146,5;;;1701,1861664798548
147,0;;;1718,9954055334576
147,5;;;1725,527924699668
148,0;;;1720,3514727676995
148,5;;;1719,301969771606
149,0;;;1727,0618389460774
149,5;;;1725,6065381294666
150,0;;;1727,88168842004
150,5;;;1729,9830320362512
151,0;;;1722,5057231644548
151,5;;;1719,4202903426394
152,0;;;1724,0399043617524
152,5;;;1724,4174234250981
153,0;;;1717,610175718151
153,5;;;1714,719169723268
154,0;;;1706,0397485246867
154,5;;;1703,4039419122496
155,0;;;1707,4259703872228
155,5;;;1708,392017217003
156,0;;;1705,7427512292631
156,5;;;1707,7563112918435
157,0;;;1707,307462229077
157,5;;;1708,3037337746384
158,0;;;1718,4971741633988
158,5;;;1724,6779242048628
159,0;;;1725,4595770261124
159,5;;;1719,8532496432335
160,0;;;1728,4930708932136
160,5;;;1737,0509464654067
161,0;;;1729,3163734130185
161,5;;;1728,5924992775801
162,0;;;1732,4731643723192
162,5;;;1721,4185151587897
163,0;;;1719,413818587266
163,5;;;1730,8751097633058
164,0;;;1713,3068263553528
164,5;;;1713,972760603739
165,0;;;1730,259448861001
165,5;;;1727,3270726929804
166,0;;;1727,694157583952
166,5;;;1737,9000126320968
167,0;;;1738,568713790391
167,5;;;1726,4011571368374
168,0;;;1731,0180042460424
168,5;;;1722,2896228111715
169,0;;;1716,5923677291278
169,5;;;1717,87283735715
170,0;;;1715,5504800482954
170,5;;;1732,2277066359763
171,0;;;1732,0392566230375
171,5;;;1725,0699080898148
172,0;;;1726,4568705091638
172,5;;;1727,188243800157
173,0;;;1731,2819862097135
173,5;;;1733,8528206859269
174,0;;;1704,2220387866194
174,5;;;1690,920341171841
175,0;;;1652,1188179490753
175,5;;;1652,9118424659896
176,0;;;1652,4064358888852
176,5;;;1636,4437574712101
177,0;;;1632,869573643397
177,5;;;1637,996978760402
178,0;;;1646,0035141651101
178,5;;;1656,0345906933555
179,0;;;1655,0886033162021
179,5;;;1648,6006966942111
180,0;;;1648,684979583734
180,5;;;1651,2937160359686
181,0;;;1650,815827045253
181,5;;;1647,645334290381
182,0;;;1656,4636168487837
182,5;;;1653,3153856337094
183,0;;;1648,5678877082853
183,5;;;1653,3235240284255
