,force
0.0,8616.947048818922
0.5,8630.63565557192
1.0,8631.97934205676
1.5,8618.804161229911
2.0,8616.438312570579
2.5,8618.29750286958
3.0,8628.215781824269
3.5,8634.923896957294
4.0,8631.040843734318
4.5,8626.430702864373
5.0,8629.381448139611
5.5,8632.819169558174
6.0,8632.819169558174
6.5,8632.819169558174
7.0,8630.966184063655
7.5,8624.773933489236
8.0,8624.829459274451
8.5,8627.693539303844
9.0,8627.693539303844
9.5,8632.81345536614
10.0,8634.385897119444
10.5,8618.800034313444
11.0,8627.33243411282
11.5,8637.55686966443
12.0,8639.455251240106
12.5,8628.43638426824
13.0,8625.3704605061
13.5,8617.075358403683
14.0,8623.322009240645
14.5,8630.941797739066
15.0,8630.627776913207
15.5,8629.501128717207
16.0,8636.706724871845
16.5,8632.503460448306
17.0,8629.501128717207
17.5,8628.51066876468
18.0,8622.453625208838
18.5,8620.496947330596
19.0,8620.463181650395
19.5,8620.053664554638
20.0,8619.886914041652
20.5,8621.35459560767
21.0,8624.854971121715
21.5,8629.352559724328
22.0,8637.812738485498
22.5,8638.277954523808
23.0,8632.458064367147
23.5,8635.34934452781
24.0,8634.923896957294
24.5,8631.169153319077
25.0,8631.457287123449
25.5,8623.327261679786
26.0,8617.095617811801
26.5,8626.964027454194
27.0,8630.358776994282
27.5,8622.49981492778
28.0,8615.75849687589
28.5,8614.881939817904
29.0,8615.591356758901
29.5,8624.895489937955
30.0,8628.756032707464
30.5,8620.415909698115
31.0,8619.051776218043
31.5,8626.590527083985
32.0,8627.974169623727
32.5,8630.38222538331
33.0,8628.32495752358
33.5,8625.972615136328
34.0,8626.500485270119
34.5,8626.734593986172
35.0,8626.059280382175
35.5,8626.554510358439
36.0,8628.609714759932
36.5,8626.577367126574
37.0,8629.134208325702
37.5,8632.251906130818
38.0,8630.293496679229
38.5,8631.081362550558
39.0,8630.72682290846
39.5,8627.644016306218
40.0,8627.644016306218
40.5,8624.587096725463
41.0,8620.11652066701
41.5,8620.409156562077
42.0,8621.973633078
42.5,8618.061316265517
43.0,8621.773290042147
43.5,8628.350671387732
44.0,8631.85347110446
44.5,8637.474331335052
45.0,8639.925719717558
45.5,8635.542934427624
46.0,8636.884182280004
46.5,8638.406264108566
47.0,8635.045640993125
47.5,8634.79783841788
48.0,8638.801928617573
48.5,8624.154896018907
49.0,8618.828922728724
49.5,8629.146213900884
50.0,8620.166043664636
50.5,8616.255790310388
51.0,8617.021333315362
51.5,8617.021333315362
52.0,8617.384501964623
52.5,8620.46524510863
53.0,8618.477759654648
53.5,8615.920398983515
54.0,8623.186946519845
54.5,8631.061103142438
55.0,8631.457287123449
55.5,8640.601033321553
56.0,8635.608965091125
56.5,8618.618449988813
57.0,8628.844948998658
57.5,8626.329405823773
58.0,8622.640288815277
58.5,8622.826779264382
59.0,8625.85443525563
59.5,8617.524182214338
60.0,8622.221248066131
60.5,8626.832601037418
61.0,8618.344947979194
61.5,8619.36917361192
62.0,8618.370835000682
62.5,8614.470898937605
63.0,8617.980841394374
63.5,8623.59963816673
64.0,8619.150822213296
64.5,8621.356846653016
65.0,8626.83926759479
65.5,8627.223070826394
66.0,8630.356525948935
66.5,8636.643868759471
67.0,8631.050785851266
67.5,8625.217389422527
68.0,8623.913283818365
68.5,8623.261231016284
69.0,8624.078360477119
69.5,8626.07166113158
70.0,8621.541432371443
70.5,8613.324251069487
71.0,8621.79805154096
71.5,8623.830745488987
72.0,8626.678317852504
72.5,8624.53025783046
73.0,8619.436704972322
73.5,8616.662291582572
74.0,8625.1678664249
74.5,8627.024978835889
75.0,8632.577744944745
75.5,8640.643803183139
76.0,8635.369603935931
76.5,8640.870466133814
77.0,8647.009759423474
77.5,8642.245681683286
78.0,8634.773076919068
78.5,8624.312469193172
79.0,8616.84800282367
79.5,8617.640370785692
80.0,8621.948871579187
80.5,8619.027014719231
81.0,8617.151331184134
81.5,8621.417624877377
82.0,8619.75747893422
82.5,8616.509595673222
83.0,8631.699949811817
83.5,8621.724113359189
84.0,8613.950907462528
84.5,8623.979314481867
85.0,8625.704365565853
85.5,8620.710796638527
86.0,8629.459859552517
86.5,8632.761392727609
87.0,8628.031196105841
87.5,8636.062925902701
88.0,8633.861403553674
88.5,8625.2016321051
89.0,8627.897821669054
89.5,8626.525246768932
90.0,8622.493624553077
90.5,8623.050758276373
91.0,8626.715460100724
91.5,8621.748528543334
92.0,8625.407227580095
92.5,8625.31230850131
93.0,8619.64605218956
93.5,8620.619369565986
94.0,8630.084149461989
94.5,8621.453641602922
95.0,8624.443029823276
95.5,8633.276131763543
96.0,8628.015438788416
96.5,8635.079219086212
97.0,8637.643534910276
97.5,8636.497377654605
98.0,8634.626758971535
98.5,8632.443244985283
99.0,8620.704606263826
99.5,8617.665132284506
100.0,8628.564693852999
100.5,8617.912747272638
101.0,8607.400365503769
101.5,8615.23231502611
102.0,8624.821205441516
102.5,8631.457287123449
103.0,8636.77894591005
103.5,8630.87126498487
104.0,8630.658166025387
104.5,8637.102908852856
105.0,8637.251477845733
105.5,8637.251477845733
106.0,8631.576967701047
106.5,8622.419340056636
107.0,8625.762142396417
107.5,8633.581061829349
108.0,8630.442065672109
108.5,8623.756460992548
109.0,8624.594225035728
109.5,8625.192627923712
110.0,8623.929791484241
110.5,8623.929791484241
111.0,8623.263482061631
111.5,8621.847920853255
112.0,8623.263482061631
112.5,8623.929791484241
113.0,8626.426575947904
113.5,8627.09926333233
114.0,8627.09926333233
114.5,8624.992284887861
115.0,8628.227974986561
115.5,8631.774684517326
116.0,8625.388468868872
116.5,8624.524067455757
117.0,8623.254477880244
117.5,8622.98885452934
118.0,8627.182552010154
118.5,8630.863011151932
119.0,8630.016993275814
119.5,8630.83149651708
120.0,8631.680140612767
120.5,8631.680140612767
121.0,8632.879009846973
121.5,8632.24965508547
122.0,8630.083023939316
122.5,8629.649697710087
123.0,8630.039691316393
123.5,8623.954552983054
124.0,8626.68657168544
124.5,8631.30871813057
125.0,8624.953266768518
125.5,8626.934937022022
126.0,8636.880055363536
126.5,8636.143400773843
127.0,8634.304859486965
127.5,8630.76396515668
128.0,8618.592562967326
128.5,8623.68217649611
129.0,8632.800598434063
129.5,8619.238612981817
130.0,8615.53564338657
130.5,8623.974812391174
131.0,8626.117057212738
131.5,8630.349772812893
132.0,8635.840072413383
132.5,8630.367781175668
133.0,8627.223070826394
133.5,8631.662998036667
134.0,8627.96591579079
134.5,8624.623113451009
135.0,8624.623113451009
135.5,8620.549846896241
136.0,8619.324152704987
136.5,8622.775005221407
137.0,8619.776050058326
137.5,8616.408486219736
138.0,8612.725213271275
138.5,8606.740809217197
139.0,8603.674885455057
139.5,8599.505949473056
140.0,8576.618821085183
140.5,8567.768648717705
141.0,8568.259751777501
141.5,8570.685815899855
142.0,8570.865899527587
142.5,8570.05777424814
143.0,8558.726574734426
143.5,8552.740482396339
144.0,8551.329076963986
144.5,8548.302459916744
145.0,8544.992384313158
145.5,8540.557824980251
146.0,8536.059486029191
146.5,8532.262722877836
147.0,8535.02982037021
147.5,8535.952186201
148.0,8531.27226292531
148.5,8526.86471613656
149.0,8516.693930499045
149.5,8503.973836006446
150.0,8505.918739185954
150.5,8497.389008895483
151.0,8493.783353722149
151.5,8494.497627726374
152.0,8493.603832855752
152.5,8490.595873511287
153.0,8489.555327799795
153.5,8485.797770354897
154.0,8483.102143552278
154.5,8484.699693119064
155.0,8483.129156096438
155.5,8480.08124069707
156.0,8481.594982114028
