Depth;depth;force;Force
0,0;;;55,25842050380592
0,5;;;62,96923564843074
1,0;;;77,86346477167413
1,5;;;87,31410348537193
2,0;;;86,10529213421884
2,5;;;89,64252851581833
3,0;;;96,0627912251395
3,5;;;95,70327330967856
4,0;;;88,24050243907581
4,5;;;88,96210316301273
5,0;;;90,7021143191977
5,5;;;86,59808347802391
6,0;;;94,05987673117568
6,5;;;99,05185786758778
7,0;;;91,31788241414247
7,5;;;102,91853741548422
8,0;;;112,96176381668869
8,5;;;98,36142597918533
9,0;;;106,56072878636749
9,5;;;109,16171789087136
10,0;;;102,34935122022782
10,5;;;104,65146715818238
11,0;;;120,47607063892949
11,5;;;110,95614013192997
12,0;;;114,62957557933342
12,5;;;135,51498714480627
13,0;;;143,24170029719156
13,5;;;148,81707786795963
14,0;;;154,6312394028079
14,5;;;146,5444527885122
15,0;;;153,31625374613859
15,5;;;166,50929863798098
16,0;;;158,79098361631162
16,5;;;151,0438703654683
17,0;;;165,5542493603299
17,5;;;168,79913122752941
18,0;;;169,5326040512028
18,5;;;183,86565911334742
19,0;;;166,68202307900228
19,5;;;155,1371041253576
20,0;;;179,07107321531262
20,5;;;185,8342632029947
21,0;;;183,1245211916714
21,5;;;196,3375253522537
22,0;;;192,93383512180532
22,5;;;192,84382072451686
23,0;;;202,5224167399639
23,5;;;203,87079290260908
24,0;;;186,26344447853268
24,5;;;198,43709771323512
25,0;;;207,71229558022895
25,5;;;204,53789596300027
26,0;;;215,16761707800882
26,5;;;213,93104283424728
27,0;;;198,21977443628305
27,5;;;206,28604912134375
28,0;;;222,0146404676329
28,5;;;218,9857651601559
29,0;;;217,20861175575268
29,5;;;212,39231264947588
30,0;;;204,67844921427692
30,5;;;213,9972141880833
31,0;;;236,34249720230304
31,5;;;213,06550507612602
32,0;;;207,31504018821153
32,5;;;224,0797833786297
33,0;;;241,27945388772224
33,5;;;249,1616697172229
34,0;;;242,97372660747035
34,5;;;232,61026401755296
35,0;;;238,2201035053044
35,5;;;257,11683194523016
36,0;;;263,8200698133364
36,5;;;256,69250989738555
37,0;;;244,55538925278964
37,5;;;234,12793754897817
38,0;;;251,0435115999581
38,5;;;255,76770543413366
39,0;;;245,2281812531025
39,5;;;238,7438936194019
40,0;;;241,04980819637987
40,5;;;247,31446739611516
41,0;;;255,27195959331047
41,5;;;264,2392332155931
42,0;;;255,39496984215063
42,5;;;259,58735421318
43,0;;;274,1831322408775
43,5;;;278,9095374385107
44,0;;;268,53427824122986
44,5;;;262,177557058728
45,0;;;266,0082446178401
45,5;;;271,76849650259
46,0;;;295,4991247703415
46,5;;;278,23304420017445
47,0;;;273,97795883688525
47,5;;;297,9809960585829
48,0;;;316,83237531412794
48,5;;;313,7244320388495
49,0;;;310,48591009624283
49,5;;;302,1889970567039
50,0;;;293,8982491397567
50,5;;;308,4846550267342
51,0;;;313,5677968001444
51,5;;;308,5907355386929
52,0;;;327,23376323167463
52,5;;;334,38982556635074
53,0;;;336,5317421104695
53,5;;;345,50174512523415
54,0;;;353,58613062449314
54,5;;;330,5584994895685
55,0;;;336,7526259351099
55,5;;;356,2290454485757
56,0;;;354,78439380802865
56,5;;;374,13117619717184
57,0;;;373,5488913710607
57,5;;;355,4779466512441
58,0;;;374,0753329568422
58,5;;;392,4227594354055
59,0;;;378,01391196503687
59,5;;;364,44611131230806
60,0;;;367,0229810431131
60,5;;;364,1013262000465
61,0;;;366,41221183549777
61,5;;;387,93882861753934
62,0;;;372,81080823335833
62,5;;;373,3032244029388
63,0;;;385,6585244913068
63,5;;;384,63240735519685
64,0;;;396,2326536846163
64,5;;;394,98172902677027
65,0;;;379,110452429524
65,5;;;386,18056379235867
66,0;;;409,0548893598202
66,5;;;409,7053476714466
67,0;;;419,9093867320468
67,5;;;421,0360782173809
68,0;;;410,17608309978766
68,5;;;417,2734559204499
69,0;;;426,0435545646113
69,5;;;412,18745344357865
70,0;;;405,57027116320035
70,5;;;424,8534290543008
71,0;;;429,177481540887
71,5;;;432,3584755666002
72,0;;;438,90656446312266
72,5;;;436,3074728744099
73,0;;;436,6633977751827
73,5;;;448,04580857053463
74,0;;;445,3795752254248
74,5;;;441,0398051033011
75,0;;;447,2406846848818
75,5;;;448,71844905818136
76,0;;;448,4127289620387
76,5;;;459,6952496201319
77,0;;;458,7692258406523
77,5;;;463,28202775806665
78,0;;;479,09353910135815
78,5;;;480,0164676934862
79,0;;;474,61058229349976
79,5;;;479,8368061367569
80,0;;;479,8729635526376
80,5;;;470,1755756374797
81,0;;;477,58777735156025
81,5;;;482,93330299074506
82,0;;;474,17724163448986
82,5;;;486,53446328827556
83,0;;;501,50982383755456
83,5;;;491,33050298643286
84,0;;;492,20324120370805
84,5;;;495,61264779065937
85,0;;;491,8301412598338
85,5;;;502,80572250555497
86,0;;;507,4132191187073
86,5;;;498,32581398826983
87,0;;;500,03323188370587
87,5;;;513,8427010131049
88,0;;;532,1154115448724
88,5;;;538,6516968831057
89,0;;;540,9868750495917
89,5;;;521,2957996036083
90,0;;;530,4509799576908
90,5;;;546,7453304269965
91,0;;;537,6935596329917
91,5;;;535,4441448512367
92,0;;;544,9094153596885
92,5;;;540,7388343830114
93,0;;;539,5895386506552
93,5;;;554,8281921417121
94,0;;;539,3392036493954
94,5;;;524,9979813329811
95,0;;;542,0486830387605
95,5;;;546,4519441834832
96,0;;;563,609599402786
96,5;;;576,833224601364
97,0;;;549,5723980761663
97,5;;;553,5482780601386
98,0;;;576,131313309323
98,5;;;585,4116589995682
99,0;;;589,3715002854433
99,5;;;585,6717196711055
100,0;;;582,286475747186
100,5;;;581,428124018441
101,0;;;590,2223232775883
101,5;;;587,3279262849063
102,0;;;578,6499588864466
102,5;;;583,9898136229325
103,0;;;577,4071004744253
103,5;;;580,7315409218737
104,0;;;608,5891938818238
