,holder1
0.0,21.457013924988246
0.5,26.342561535229976
1.0,22.795260383573336
1.5,18.69835785266499
2.0,22.981058203339355
2.5,21.74458496802297
3.0,16.633164437444798
3.5,17.601536007508276
4.0,22.24215978318935
4.5,21.927341712104475
5.0,23.71963556093175
5.5,23.4327751844567
6.0,22.87967458407287
6.5,23.947889394615657
7.0,22.106440507497364
7.5,20.53655282487496
8.0,20.52451839013708
8.5,19.561503875105377
9.0,18.289605535134903
9.5,22.40854955172928
10.0,20.09306803202844
10.5,18.84059578050652
11.0,27.232646922241926
11.5,30.938135544422387
12.0,21.95946600507209
12.5,16.374575603248093
13.0,19.496353428053194
13.5,12.012883041106555
14.0,16.21376655129697
14.5,22.66230441034221
15.0,16.445075890443018
15.5,14.059234773881393
16.0,27.28628343725834
16.5,24.62367196639221
17.0,20.249890857845646
17.5,19.564541343345745
18.0,9.613795388465846
18.5,11.521040455195948
19.0,20.466712700017474
19.5,19.785612755098317
20.0,21.567877908310777
20.5,24.28506279905555
21.0,23.236465271517368
21.5,22.870670402686134
22.0,25.14854070638692
22.5,20.43818142173718
23.0,17.39725364229925
23.5,18.94878664747985
24.0,15.890647750495663
24.5,15.821363172085723
25.0,19.404341949508776
25.5,21.25273155977925
26.0,17.62720658232648
26.5,22.758767475357253
27.0,22.917379593629136
27.5,22.057480271207737
28.0,21.15987593922977
28.5,19.938402458002145
29.0,19.81398530582146
29.5,20.756469854398414
30.0,20.7567512350667
30.5,19.52569638133783
31.0,20.02253527783327
31.5,19.88465875035081
32.0,20.447939559017147
32.5,21.587011793757327
33.0,19.125674079415383
33.5,17.403588314781352
34.0,18.094514938425245
34.5,18.43539679577536
35.0,17.067991363573388
35.5,21.020686301961803
36.0,16.099338412841753
36.5,14.9909799602834
37.0,18.931200355708988
37.5,20.567584062169203
38.0,13.112388824945242
38.5,19.002811735799725
39.0,21.38606270723512
39.5,15.286335868475328
40.0,26.612470530160152
40.5,26.013389442615797
41.0,18.509082456434047
41.5,24.3826802462998
42.0,24.587554232400787
42.5,16.629553385534688
43.0,20.782778946887582
43.5,22.122760586261005
44.0,13.757594697429825
44.5,20.402586767193426
45.0,22.926196187903617
45.5,15.609079495052072
46.0,20.72389669226931
46.5,20.900710944616932
47.0,13.813026689090842
47.5,17.130180098718895
48.0,20.72279796775495
48.5,12.186927806802544
49.0,18.8534454976936
49.5,24.069164462666286
50.0,16.80597906457842
50.5,24.976523324480425
51.0,33.02218146442033
51.5,22.524853561306198
52.0,14.692857142185762
52.5,24.68726399743516
53.0,18.8077788582007
53.5,15.763167877963287
54.0,27.174106344149923
54.5,23.147462401657457
55.0,19.17459463381625
55.5,28.17835394942557
56.0,26.904543663888376
56.5,18.568266190339603
57.0,20.05461267402344
57.5,16.497492058530987
58.0,14.109039152175702
58.5,20.403524702754304
59.0,17.962395892310077
59.5,13.294723498024162
60.0,22.758464450022533
60.5,26.143473890051716
61.0,22.150555505937277
61.5,21.95911370732468
62.0,16.1983043404241
62.5,14.267268881334639
63.0,21.68211845965351
63.5,12.473232636829849
64.0,11.527652900901444
64.5,19.56946550504149
65.0,15.223587979437436
65.5,17.419201334429285
66.0,23.634857008541537
66.5,20.803085251785888
67.0,20.452928654713748
67.5,25.621072642071855
68.0,19.401809523494002
68.5,15.516317668058548
69.0,22.450991135869636
69.5,17.560360636375588
70.0,17.16436424247704
70.5,23.205794778669105
71.0,17.493438934090868
71.5,16.27773375656387
72.0,18.12771785728845
72.5,15.62511819314672
73.0,13.980469831414919
73.5,14.362281753674253
74.0,12.669928546327192
74.5,12.237154256099554
75.0,17.385060480004704
75.5,17.671177722920124
76.0,16.729631109904325
76.5,25.18207190269655
77.0,22.535170852478398
77.5,14.59160699836448
78.0,17.179558798566635
78.5,18.50727151931174
79.0,13.743807044681262
79.5,20.21469662963686
80.0,21.682540530655707
80.5,19.347784435174063
81.0,23.76274091485395
81.5,25.23413814867127
82.0,22.52175837395503
82.5,24.951199064330474
83.0,25.41111576671875
83.5,20.4401041896374
84.0,28.434316564051258
84.5,24.09158112257638
85.0,11.408051687082569
85.5,23.936118303324
86.0,27.459989103174692
86.5,11.42729379586296
87.0,18.968086475371866
87.5,22.611237426484898
88.0,6.79032796887037
88.5,15.59698012631407
89.0,25.752196033514462
89.5,15.865323490345537
90.0,20.007759185301857
90.5,30.12213160626056
91.0,18.27853789551373
91.5,20.25298604519724
92.0,29.964277051327006
92.5,14.904177631547917
93.0,15.932198295853123
93.5,26.857365505165006
94.0,14.68891059794017
94.5,15.515942493834048
95.0,27.402024685499278
95.5,20.49337892950851
96.0,16.46780639802198
96.5,24.201413376782664
97.0,18.093577002863775
97.5,15.335166236764245
98.0,18.095077699761614
98.5,16.42480205254524
99.0,13.174855333314596
99.5,19.049239546074407
100.0,19.70748478425479
100.5,18.517765059913632
101.0,20.383868253209524
101.5,15.523258391210325
102.0,16.383157713632063
102.5,18.334814029180194
103.0,16.568998822731704
103.5,14.027298068025459
104.0,17.865326776624464
104.5,17.488561669172903
105.0,17.1571796560787
105.5,20.463177404440593
106.0,22.899089850187664
106.5,18.116462630555073
107.0,19.25633571796643
107.5,16.634805824676814
108.0,12.134309621824395
108.5,16.182064329330988
109.0,14.853291019913037
109.5,12.112643310362904
110.0,14.874019395813303
110.5,18.89259709248079
111.0,16.846873055042604
111.5,20.32080239370917
112.0,20.726080742219015
112.5,15.111403671440513
113.0,21.51873008490902
113.5,20.87849527089829
114.0,14.090468028065933
114.5,19.653176253869926
115.0,20.93749863258089
115.5,16.12034816941017
116.0,17.668187151457822
116.5,18.508144520872435
